"STATION,""DATE"",""LATITUDE"",""LONGITUDE"",""ELEVATION"",""NAME"",""TEMP"",""TEMP_ATTRIBUTES"",""DEWP"",""DEWP_ATTRIBUTES"",""SLP"",""SLP_ATTRIBUTES"",""STP"",""STP_ATTRIBUTES"",""VISIB"",""VISIB_ATTRIBUTES"",""WDSP"",""WDSP_ATTRIBUTES"",""MXSPD"",""GUST"",""MAX"",""MAX_ATTRIBUTES"",""MIN"",""MIN_ATTRIBUTES"",""PRCP"",""PRCP_ATTRIBUTES"",""SNDP"",""FRSHTT"""
"72259003927,""2012-01-01"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  53.3"",""24"",""  31.5"",""24"",""1025.8"",""24"",""004.2"",""24"","" 10.0"",""24"","" 11.7"",""24"","" 25.1"","" 35.0"",""  73.9"","" "",""  37.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-02"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  44.4"",""24"",""  23.0"",""24"",""1037.4"",""24"",""015.4"",""24"","" 10.0"",""24"",""  9.0"",""24"","" 14.0"","" 17.1"",""  60.1"","" "",""  35.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-03"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  42.5"",""24"",""  22.9"",""24"",""1032.9"",""24"",""010.9"",""24"","" 10.0"",""24"",""  7.2"",""24"","" 20.0"","" 26.0"",""  59.0"","" "",""  28.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-04"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  48.4"",""24"",""  29.5"",""24"",""1023.7"",""24"",""001.9"",""24"","" 10.0"",""24"",""  7.7"",""24"","" 15.9"","" 22.0"",""  61.0"","" "",""  30.2"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-05"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  48.6"",""24"",""  32.4"",""24"",""1025.1"",""24"",""003.4"",""24"","" 10.0"",""24"",""  3.9"",""24"",""  8.9"",""999.9"",""  66.9"","" "",""  33.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-06"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  55.5"",""24"",""  41.8"",""24"",""1014.9"",""24"",""993.8"",""24"",""  9.8"",""24"",""  9.3"",""24"","" 18.1"","" 22.0"",""  73.0"","" "",""  33.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-07"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  54.9"",""24"",""  42.3"",""24"",""1013.0"",""24"",""991.7"",""24"","" 10.0"",""24"","" 10.5"",""24"","" 14.0"",""999.9"",""  68.0"",""*"",""  44.6"",""*"","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-08"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  48.4"",""24"",""  41.8"",""24"",""1017.3"",""21"",""995.9"",""24"",""  7.3"",""24"",""  3.8"",""24"",""  9.9"",""999.9"",""  60.1"","" "",""  39.9"","" "","" 0.00"",""G"",""999.9"",""100000"""
"72259003927,""2012-01-09"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  47.2"",""24"",""  43.1"",""24"",""1019.3"",""13"",""997.5"",""24"",""  7.3"",""24"","" 11.2"",""24"","" 18.1"","" 25.1"",""  57.0"","" "",""  42.1"","" "","" 0.82"",""G"",""999.9"",""010010"""
"72259003927,""2012-01-10"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  44.2"",""24"",""  41.1"",""24"",""1013.3"",""20"",""992.3"",""24"",""  5.9"",""24"","" 11.3"",""24"","" 18.1"","" 22.0"",""  48.9"","" "",""  42.1"","" "","" 0.88"",""G"",""999.9"",""010010"""
"72259003927,""2012-01-11"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  47.9"",""24"",""  38.1"",""24"",""1007.2"",""24"",""985.8"",""24"","" 10.0"",""24"",""  6.3"",""24"","" 12.0"",""999.9"",""  66.0"","" "",""  34.0"","" "","" 0.02"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-12"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  39.7"",""24"",""  19.4"",""24"",""1018.9"",""23"",""996.9"",""24"","" 10.0"",""24"","" 19.5"",""24"","" 29.9"","" 36.9"",""  66.0"","" "",""  30.9"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-13"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  38.3"",""24"",""  17.8"",""24"",""1023.4"",""24"",""001.5"",""24"","" 10.0"",""24"",""  5.7"",""24"","" 11.1"",""999.9"",""  57.0"","" "",""  26.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-14"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  48.1"",""24"",""  25.8"",""24"",""1023.8"",""24"",""002.1"",""24"","" 10.0"",""24"",""  7.8"",""24"","" 11.1"",""999.9"",""  66.0"","" "",""  26.2"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-15"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  50.0"",""24"",""  32.7"",""24"",""1023.2"",""24"",""001.6"",""24"","" 10.0"",""24"",""  9.6"",""24"","" 22.9"","" 29.9"",""  66.0"","" "",""  34.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-16"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  63.4"",""24"",""  54.3"",""24"",""1015.9"",""24"",""994.6"",""24"","" 10.0"",""24"","" 17.8"",""24"","" 25.1"","" 31.1"",""  71.1"",""*"",""  59.0"",""*"","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-17"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  56.5"",""24"",""  45.2"",""24"",""1016.8"",""24"",""995.6"",""24"",""  9.9"",""24"","" 14.6"",""24"","" 20.0"","" 26.0"",""  72.0"","" "",""  43.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-18"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  40.1"",""24"",""  21.7"",""24"",""1025.4"",""24"",""003.5"",""24"","" 10.0"",""24"",""  6.6"",""24"","" 12.0"","" 18.1"",""  64.9"","" "",""  28.9"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-19"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  50.8"",""24"",""  34.3"",""24"",""1012.6"",""24"",""991.1"",""24"","" 10.0"",""24"",""  6.0"",""24"","" 11.1"",""999.9"",""  73.0"","" "",""  30.2"","" "","" 0.00"",""G"",""999.9"",""000000"""
