"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72259003927","2018-01-01","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  23.9","24","   7.0","24","1040.3","24","017.6","24"," 10.0","24"," 11.9","24"," 15.0"," 15.9","  35.1"," ","  17.1"," "," 0.00","G","999.9","000000"
"72259003927","2018-01-02","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  24.9","24","   7.4","24","1037.2","24","014.4","24"," 10.0","24","  6.7","24","  9.9","999.9","  30.0"," ","  18.0"," "," 0.00","G","999.9","000000"
"72259003927","2018-01-03","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  30.6","24","  10.6","24","1030.8","24","008.2","24"," 10.0","24","  6.8","24"," 12.0","999.9","  50.0"," ","  19.0"," "," 0.00","G","999.9","000000"
"72259003927","2018-01-04","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  38.9","24","  19.4","24","1027.5","24","005.4","24"," 10.0","24","  3.9","24","  8.9","999.9","  51.1"," ","  21.2"," "," 0.00","G","999.9","000000"
"72259003927","2018-01-05","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  44.4","24","  21.6","24","1026.0","24","004.0","24"," 10.0","24","  4.8","24"," 12.0"," 15.9","  64.0"," ","  28.2"," "," 0.00","G","999.9","000000"
"72259003927","2018-01-06","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  49.2","24","  33.2","24","1024.9","24","003.1","24"," 10.0","24","  6.7","24"," 12.0","999.9","  66.0"," ","  32.0"," "," 0.00","G","999.9","000000"
"72259003927","2018-01-07","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  56.9","24","  45.4","24","1017.0","21","995.0","24","  9.6","24"," 13.5","24"," 17.1"," 25.1","  62.1","*","  53.1","*"," 0.00","G","999.9","010000"
"72259003927","2018-01-08","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  52.8","24","  44.1","24","1017.9","23","996.0","24","  8.7","24"," 10.2","24"," 14.0"," 21.0","  62.1"," ","  42.1"," "," 0.18","G","999.9","010000"
"72259003927","2018-01-09","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  46.1","24","  39.4","24","1019.5","21","997.9","24","  7.2","24","  4.9","24"," 11.1","999.9","  61.0"," ","  37.0"," "," 0.00","G","999.9","100000"
"72259003927","2018-01-10","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  49.9","24","  44.7","24","1012.3","22","990.9","24","  5.5","24"," 13.5","24"," 18.1"," 24.1","  60.1"," ","  39.0"," "," 0.00","G","999.9","000000"
"72259003927","2018-01-11","32.8978","-97.0189","170.7","DAL FTW WSCMO AIRPORT, TX US","  53.4","24","  46.0","24","1006.9","22","986.4","24","  9.6","24"," 15.5","24"," 28.0"," 38.1","  62.1"," ","  36.0"," "," 0.00","G","999.9","000000"
